OBJECTID,TYPE,LOCATION,STATUS,ST_ID,MATERIAL,MAP_MILES,WIDTH_FT,ST_TYPE,ST_TONAGE,TRAIL_NAME,OWNER,ADA,GWSTATUS,TRAILHEAD_,GlobalID,SHAPE_Leng
"1180",Crossing,Rocky Branch Trail,Existing,NA,Asphalt,0.011096790000000,10.000000000000000,NA,0.000000000000000,Rocky Branch Trail,COR,YES,OPEN,"352",{2CAF7D41-6EDA-40B6-82DB-B3BB2A5D95E8},0.000196031052012
"1181",Crossing,Rocky Branch Trail,Existing,NA,Asphalt,0.013589340000000,8.000000000000000,NA,0.000000000000000,Rocky Branch Trail,COR,NO,OPEN,"351",{92C77FB7-E15C-4598-A9FB-37C03A9DD19E},0.000234225564012
"1182",Crossing,Rocky Branch Trail,Existing,NA,Asphalt,0.016191030000000,6.000000000000000,NA,0.000000000000000,Rocky Branch Trail,COR,NO,OPEN,"336",{1507EEC9-1AF7-41D5-8644-8A3CF2CA3DCB},0.000275011832456
"1183",Crossing,Rocky Branch Trail Extension,Existing,NA,Asphalt,0.017679940000000,10.000000000000000,NA,0.000000000000000,Rocky Branch Trail Extension,COR,YES,OPEN,"76",{E4440A32-3FFD-43BD-8203-4E583F74EC2E},0.000290731912865
"1184",Crossing,Rocky Branch Trail,Existing,NA,Concrete,0.009609510000000,5.000000000000000,NA,0.000000000000000,Rocky Branch Trail,COR,NO,OPEN,"346",{31C5DFA1-879F-4E4C-A5BB-B119145DE7EB},0.000141522895005
"1185",Crossing,Rocky Branch Trail,Existing,NA,Asphalt,0.012028770000000,10.000000000000000,NA,0.000000000000000,Rocky Branch Trail,NCSU,NO,OPEN,"343",{5970B984-A3C4-470B-864A-965852C16C51},0.000188048508990
"1186",Crossing,Rocky Branch Trail,Existing,NA,Asphalt,0.011378090000000,10.000000000000000,NA,0.000000000000000,Rocky Branch Trail,NCSU,NO,OPEN,"344",{C2C17240-6CCC-4880-AAA9-C5BC5D0408EE},0.000199797413339
"1187",Crossing,Rocky Branch Trail,Existing,NA,Asphalt,0.009533090000000,10.000000000000000,NA,0.000000000000000,Rocky Branch Trail,NCSU,NO,OPEN,"340",{C35DEFAF-985D-459B-8E54-4CD68EE2940D},0.000151335363102
"1188",Crossing,Rocky Branch Trail,Existing,NA,Asphalt,0.011768440000000,10.000000000000000,NA,0.000000000000000,Rocky Branch Trail,NCSU,NO,OPEN,"332",{3CBA0A97-1A93-4FAF-AA3A-D58A82FFAE19},0.000188523420643
"1189",Crossing,Rocky Branch Trail,Existing,NA,Asphalt,0.007943870000000,10.000000000000000,NA,0.000000000000000,Rocky Branch Trail,NCSU,NO,OPEN,"348",{ED4FF975-782C-4002-819B-11E182F71295},0.000133197331070
"1190",Crossing,Gorman St Connector,Existing,NA,Asphalt,0.018976580000000,6.000000000000000,NA,0.000000000000000,Rocky Branch Trail,COR,NO,OPEN,"337",{C2E62278-19D8-45CF-B4ED-A8FF91E2A042},0.000320250615874
"1191",Crossing,Reedy Creek Trail,Existing,NA,Asphalt,0.025041470000000,10.000000000000000,NA,0.000000000000000,Reedy Creek Trail,COR,YES,OPEN,"323",{95630AF0-6C39-4837-91A5-0589B0397CAD},0.000374469396866
"1192",Crossing,Reedy Creek Trail,Existing,NA,Asphalt,0.011648350000000,10.000000000000000,NA,0.000000000000000,Reedy Creek Trail,COR,YES,OPEN,"325",{73BA4DF5-7587-43A0-B04C-34BF3447FE58},0.000206502326653
"1193",Crossing,Reedy Creek Trail,Existing,NA,Asphalt,0.018566310000000,10.000000000000000,NA,0.000000000000000,Reedy Creek Trail,COR,NO,OPEN,"321",{D5154969-AB7A-41C4-AEC0-06736C018680},0.000329407453998
"1194",Crossing,Reedy Creek Trail,Existing,NA,Asphalt,0.014080090000000,10.000000000000000,NA,0.000000000000000,Reedy Creek Trail,COR,YES,OPEN,"322",{B6552957-C897-4628-A58F-7EF8AB6DD8DE},0.000215911959070
"1195",Crossing,Loblolly Segment,Existing,NA,Asphalt,0.007325560000000,4.000000000000000,NA,0.000000000000000,Richland Creek Trail,COR,NO,OPEN,"331",{F631923D-9E38-4014-A4A8-0A9C32358A12},0.000106286057558
"1196",Trail,Durant Segment,Existing,NA,Asphalt,0.104380690000000,4.000000000000000,NA,0.000000000000000,Simms Branch Trail,Private,MAYBE,OPEN,,{0682962B-9BA8-4422-B12D-81B0CBE38349},0.001734788181368
